GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1136489594,Connect4,5,GAME_OVER,12,1,2,105,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-362921133,Connect4,3,GAME_OVER,8,1,2,106,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1364054475,Connect4,3,GAME_OVER,8,1,2,107,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
814423744,Connect4,3,GAME_OVER,8,1,2,108,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1075196489,Connect4,3,GAME_OVER,8,1,2,109,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1568387951,Connect4,11,GAME_OVER,23,0,2,110,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1781053528,Connect4,3,GAME_OVER,8,1,2,111,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1606283071,Connect4,4,GAME_OVER,10,1,2,112,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-543735179,Connect4,3,GAME_OVER,7,0,2,113,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1674156088,Connect4,5,GAME_OVER,12,1,2,114,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
166348003,Connect4,3,GAME_OVER,8,1,2,115,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1111867417,Connect4,4,GAME_OVER,10,1,2,116,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1814791316,Connect4,3,GAME_OVER,8,1,2,117,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1933375635,Connect4,7,GAME_OVER,15,0,2,118,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-427253403,Connect4,3,GAME_OVER,8,1,2,119,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-194714209,Connect4,5,GAME_OVER,12,1,2,120,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
